region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Sierra Leone,694,Country/Area,914,6.03,6.03,6.25,6.41,6.57,6.65,6.72,6.72,6.69,6.48,6.11,5.57,4.84,4.32
Togo,768,Country/Area,914,6.33,6.42,6.65,6.94,7.2,7.28,7.06,6.5,5.9,5.54,5.31,5.04,4.69,4.35
NORTHERN AFRICA AND WESTERN ASIA,1833,SDG region,1828,6.57,6.53,6.55,6.42,6.13,5.75,5.34,4.76,4.12,3.57,3.2,3.07,3.09,2.93
Northern Africa,912,Subregion,1833,6.8,6.87,6.94,6.83,6.53,6.19,5.74,5.05,4.22,3.54,3.15,3.11,3.34,3.25
Algeria,12,Country/Area,912,7.28,7.38,7.65,7.65,7.57,7.18,6.32,5.3,4.12,2.89,2.38,2.72,2.96,3.05
Egypt,818,Country/Area,912,6.75,6.75,6.65,6.45,6,5.7,5.49,5,4.15,3.6,3.15,3.02,3.45,3.33
Libya,434,Country/Area,912,7.14,7.2,7.3,7.99,8.1,7.67,6.68,5.71,4.22,3.2,2.64,2.5,2.45,2.25
Morocco,504,Country/Area,912,6.61,6.9,7.1,6.85,6.4,5.9,5.4,4.43,3.7,2.97,2.67,2.53,2.6,2.42
Sudan,729,Country/Area,912,6.65,6.65,6.75,6.86,6.9,6.92,6.63,6.3,6,5.65,5.3,5,4.75,4.43
Tunisia,788,Country/Area,912,6.65,6.85,6.99,6.92,6.39,5.65,4.82,4,2.98,2.34,2.04,2.02,2.25,2.2
Western Sahara,732,Country/Area,912,6.34,6.42,6.53,6.6,6.57,6.23,5.33,4.6,4,3.4,2.85,2.55,2.6,2.41
Western Asia,922,Subregion,1833,6.35,6.2,6.19,6.04,5.78,5.36,4.99,4.51,4.04,3.6,3.24,3.03,2.86,2.65
Armenia,51,Country/Area,922,4.49,4.9,4.45,3.45,3.04,2.6,2.5,2.6,2.38,1.75,1.65,1.72,1.72,1.76
Azerbaijan,31,Country/Area,922,5.2,5.6,6,5.4,4.6,3.8,3.3,3.2,2.9,2.25,1.9,1.83,2.09,2.08
Bahrain,48,Country/Area,922,6.97,6.97,7.17,6.97,5.95,5.23,4.63,4.08,3.4,2.95,2.65,2.25,2.12,2
